timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season,temperature_c,humidity_percent,dew_point_c,rainfall_mm,snowfall_cm,wind_speed_ms,solar_radiation_wm2,solar_radiation_mjm2,Functioning Day,visibility_km
2015-01-04 00:00:00,182.0,3.4,2.0,94,2.16,3.0,0.0,1,3.0,3.4,94,2.6,0.0,0.0,2.16,0.0,0.0,Yes,4.4
2015-01-04 01:00:00,138.0,2.8,2.5,96,2.01,1.0,0.0,1,3.0,2.8,96,2.2,0.0,0.0,2.01,0.0,0.0,Yes,3.2
2015-01-04 02:00:00,134.0,2.2,2.5,97,1.84,1.0,0.0,1,3.0,2.2,97,1.7,0.0,0.0,1.84,0.0,0.0,Yes,1.2
2015-01-04 03:00:00,72.0,1.5,2.0,97,1.7,1.0,0.0,1,3.0,1.5,97,1.1,0.0,0.0,1.7,0.0,0.0,Yes,2.2
2015-01-04 04:00:00,47.0,0.9,0.0,98,1.52,1.0,0.0,1,3.0,0.9,98,0.6,0.0,0.0,1.52,0.0,0.0,Yes,0.9
2015-01-04 05:00:00,46.0,-0.0,2.0,98,1.65,1.0,0.0,1,3.0,-0.0,98,-0.3,0.0,0.0,1.65,0.0,0.0,Yes,0.6
2015-01-04 06:00:00,51.0,-0.3,-1.0,98,1.55,4.0,0.0,1,3.0,-0.3,98,-0.6,0.0,0.0,1.55,0.0,0.0,Yes,0.3
2015-01-04 07:00:00,75.0,-0.0,-1.0,97,1.5,4.0,0.0,1,3.0,-0.0,97,-0.4,0.0,0.0,1.5,0.0,0.0,Yes,0.3
2015-01-04 08:00:00,131.0,-0.2,-1.0,97,1.36,4.0,0.0,1,3.0,-0.2,97,-0.6,0.0,0.0,1.36,0.0,0.0,Yes,0.0
2015-01-04 09:00:00,301.0,0.4,-0.5,98,1.8,3.0,0.0,1,3.0,0.4,98,0.1,0.0,0.0,1.8,16.0,0.0576,Yes,1.2
2015-01-04 10:00:00,528.0,2.0,-0.5,92,1.88,3.0,0.0,1,3.0,2.0,92,0.8,0.0,0.0,1.88,84.0,0.3024,Yes,0.0
